Multi-server queueing system

Mean interarrival time       3.000 minutes
Mean service time            8.000 minutes
Lenght of the simulation   480.000 minutes

Configuracion(n de cajeros)             Costo
          1                         3271.785645
          2                         1550.799316
          3                          679.014832
          4                          528.085876
          5                          611.268188
          6                          723.833374
          7                          840.523804
          8                          960.107483
          9                         1080.060425
         10                         1200.030396
         11                         1320.000000
         12                         1440.000000
         13                         1560.000000
         14                         1680.000000
         15                         1800.000000
         16                         1920.000000
         17                         2040.000000
         18                         2160.000000
         19                         2280.000000
         20                         2400.000000
